 written on 15Apr2025 at 13:40:09 
  -2.7218511831824337        0.0000000000000000        2.7218511831824337     
   0.0000000000000000        2.7218511831824337        2.7218511831824337     
  -2.7218511831824337        2.7218511831824337        0.0000000000000000     
           8
         279
    3    2    2    3    2    3    6    2    2    2    1    2    2    1    1
    2    2    1    1    1    2    2    1    1    1    1    2    6    2    2
    2    2    2    6    2    2    3    1    1    1    3    2    1    1    1
    1    2    3    1    1    1    1    1    3    1    1    1    1    1    1
    2    1    1    1    1    1    2    2    1    1    1    1    2    3    2
    3    2    1    2    2    1    1    1    1    2    2    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    2
    1    1    1    1    1    1    2    1    1    1    2    2    2    3    2
    1    1    2    3    1    1    1    1    1    3    1    1    1    1    1
    1    2    1    1    1    1    1    2    1    1    1    1    1    1    3
    1    1    1    1    1    3    2    1    1    2    3    2    2    2    1
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    2    1    1    1    1    1    1    2    1    1    1    1    1    2    2
    1    1    1    1    2    2    1    2    3    2    3    2    1    1    1
    1    2    2    1    1    1    1    1    2    1    1    1    1    1    1
    3    1    1    1    1    1    3    2    1    1    1    1    2    3    1
    1    1    3    2    2    6    2    2    2    2    2    6    2    1    1
    1    1    2    2    1    1    1    2    2    1    1    2    2    1    2
    2    2    6    3    2    3    2    2    3

   -4    0    2
    5    7    0.15856935E-02 -0.14806073E-09
    6    7   -0.62267895E-02  0.16916752E-09
    7    7   -0.33637328E-02 -0.31514441E-10
    8    7    0.18909575E-02 -0.31945457E-09
    1    8    0.20181467E-02 -0.15748781E-09
    2    8   -0.38564143E-02 -0.15121491E-09
    3    8    0.19652428E-02 -0.70624017E-10
    4    8    0.46560282E-02 -0.19605128E-09
    5    8    0.16205672E-02  0.40011028E-10
    6    8   -0.61833354E-02 -0.30392207E-09
    7    8    0.15904301E-02  0.22817165E-09
    8    8   -0.33524860E-02 -0.77435575E-10

   -3   -3    3
    1    1    0.48645273E-02 -0.42912015E-17
    2    1   -0.16458951E-02 -0.58115042E-07
    3    1   -0.16474077E-02 -0.36663396E-07
    4    1   -0.16489204E-02 -0.77232319E-07
    5    1   -0.21420344E-02 -0.13227797E-07
    6    1   -0.15246813E-02 -0.87287119E-07
    7    1    0.14004636E-02  0.93294012E-09
    8    1    0.14070023E-02 -0.33301525E-10
    1    2   -0.16458951E-02  0.58115042E-07
    2    2    0.48704208E-02  0.12115500E-16
    3    2   -0.16489204E-02  0.21481707E-07
    4    2   -0.16504331E-02 -0.19111305E-07
    5    2    0.51912978E-03 -0.18366054E-08
    6    2    0.20918061E-02  0.10217593E-07
    7    2    0.51999231E-03 -0.48220307E-08
    8    2    0.52533287E-03 -0.19271725E-08
    1    3   -0.16474077E-02  0.36663396E-07
    2    3   -0.16489204E-02 -0.21481707E-07
    3    3    0.48763142E-02  0.15313437E-16
    4    3   -0.16519457E-02 -0.40512373E-07
    5    3    0.13945464E-02  0.10921572E-08
    6    3   -0.15252280E-02 -0.45442718E-07
    7    3   -0.21615660E-02  0.17980274E-07
    8    3    0.14214730E-02 -0.16276831E-08
    1    4   -0.16489204E-02  0.77232319E-07
    2    4   -0.16504331E-02  0.19111305E-07
    3    4   -0.16519457E-02  0.40512373E-07
    4    4    0.48822076E-02  0.49556601E-17
    5    4    0.13959648E-02  0.14587860E-08
    6    4   -0.15228709E-02  0.30199617E-08
    7    4    0.14177601E-02 -0.36793126E-09
    8    4   -0.21701936E-02  0.54411499E-08
    1    5   -0.21420344E-02  0.13227797E-07
    2    5    0.51912978E-03  0.18366054E-08
    3    5    0.13945464E-02 -0.10921572E-08
    4    5    0.13959648E-02 -0.14587860E-08
    5    5    0.48846387E-02  0.21148347E-17
    6    5   -0.12769954E-02 -0.46125258E-07
    7    5   -0.12797545E-02  0.33091380E-07
    8    5   -0.12825136E-02 -0.38211383E-07
    1    6   -0.15246813E-02  0.87287119E-07
    2    6    0.20918061E-02 -0.10217593E-07
    3    6   -0.15252280E-02  0.45442718E-07
    4    6   -0.15228709E-02 -0.30199618E-08
    5    6   -0.12769954E-02  0.46125258E-07
    6    6    0.48859705E-02 -0.59740494E-17
    7    6   -0.12825135E-02  0.79155631E-07
    8    6   -0.12852726E-02  0.78637583E-08
    1    7    0.14004636E-02 -0.93294014E-09
    2    7    0.51999231E-03  0.48220307E-08
    3    7   -0.21615660E-02 -0.17980274E-07
    4    7    0.14177601E-02  0.36793124E-09
    5    7   -0.12797545E-02 -0.33091380E-07
    6    7   -0.12825135E-02 -0.79155631E-07
    7    7    0.48873022E-02  0.10493761E-16
    8    7   -0.12880317E-02 -0.71270950E-07
    1    8    0.14070023E-02  0.33301514E-10
    2    8    0.52533287E-03  0.19271726E-08
    3    8    0.14214730E-02  0.16276831E-08
    4    8   -0.21701936E-02 -0.54411499E-08
    5    8   -0.12825136E-02  0.38211383E-07
    6    8   -0.12852726E-02 -0.78637582E-08
    7    8   -0.12880317E-02  0.71270950E-07
    8    8    0.48886339E-02 -0.12674946E-16

   -3   -2    2
    1    1    0.28420482E-02 -0.12512173E-12
    2    1   -0.22855387E-02 -0.28125864E-08
    3    1   -0.11704619E-02  0.12107010E-08
    4    1   -0.22980405E-02 -0.34875804E-08
    5    1   -0.69481438E-03  0.10446216E-09
    6    1   -0.27871300E-02  0.58588240E-09
    7    1    0.53026069E-02 -0.16339377E-09
    8    1    0.45398567E-02  0.82083689E-10
    1    2    0.25796547E-03 -0.32321394E-08
    2    2    0.10267549E-02  0.10602490E-08
    3    2   -0.23032861E-02  0.10807160E-08
